age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
18,4,423024,11,9,4,8,1,4,1,0,0,20,39,0
17,4,178953,2,8,4,12,3,4,0,0,0,20,39,0
25,2,348986,11,9,4,6,2,2,1,0,0,40,39,0
20,4,218215,15,10,4,12,3,4,0,0,0,30,39,0
47,4,244025,11,9,4,7,4,0,1,0,0,56,33,0
33,4,399531,9,13,2,3,0,2,1,0,0,40,39,0
38,4,200220,11,9,2,3,0,4,1,0,0,40,39,0
21,4,329530,1,7,2,3,0,4,1,0,0,40,26,0
43,4,282155,7,12,0,10,1,4,0,4650,0,40,39,0
55,4,202220,11,9,2,8,5,2,0,2407,0,35,39,0
46,4,129007,9,13,2,12,0,4,1,0,1977,40,39,1
34,4,261799,8,11,2,1,0,2,1,0,0,45,39,1
40,9,246862,9,13,6,15,1,4,0,0,0,8,39,0
50,4,173754,11,9,2,3,0,4,1,0,0,40,39,0
29,4,176727,15,10,4,3,1,4,1,0,0,38,39,0
62,4,24515,6,5,2,4,0,4,1,0,0,40,39,0
56,4,158776,1,7,2,12,0,4,1,0,0,55,39,0
40,1,90737,15,10,2,1,0,4,1,0,1887,40,39,1
74,0,340939,6,5,2,0,0,4,1,3471,0,40,39,0
21,4,305874,15,10,2,3,0,4,1,0,0,54,39,0
31,4,74501,11,9,0,8,4,4,0,0,0,30,39,0
36,4,295706,12,14,2,4,0,4,1,0,0,70,39,1
36,4,108293,11,9,6,8,4,4,0,0,0,24,39,0
64,7,111795,9,13,2,3,0,4,1,0,0,45,39,1
32,2,250585,9,13,4,10,1,4,0,0,0,50,39,0
55,2,159028,11,9,2,14,0,4,1,0,0,40,39,0
33,4,179758,11,9,2,12,5,4,0,0,0,20,39,0
52,6,34973,11,9,2,5,0,4,1,0,1887,60,39,1
45,5,204196,9,13,0,4,4,4,1,0,0,50,39,1
47,4,47247,15,10,2,1,5,4,0,0,0,40,39,0
27,4,150080,9,13,4,4,3,4,0,0,0,40,39,0
19,4,376540,11,9,4,1,1,4,0,0,0,30,39,0
52,4,99736,12,14,0,10,4,4,1,15020,0,50,39,1
26,4,166301,9,13,4,13,1,4,1,0,0,40,39,0
50,4,321770,11,9,0,1,1,4,0,0,0,40,39,0
40,4,106698,7,12,0,14,4,4,0,0,0,40,39,0
45,6,32172,15,10,4,5,1,4,1,0,0,50,39,0
25,4,243410,11,9,4,8,1,2,0,0,0,40,39,0
37,4,224947,8,11,4,8,1,4,1,0,0,40,39,0
49,6,34845,8,11,0,14,1,4,1,0,0,48,39,0
40,4,202872,7,12,4,1,3,4,0,0,0,45,39,0
50,4,302372,9,13,2,10,0,4,1,0,0,40,39,0
22,4,210781,9,13,4,1,3,4,0,0,0,35,39,0
38,4,58108,9,13,2,4,0,4,1,0,0,50,39,1
24,4,206008,7,12,4,10,3,2,1,0,0,20,39,0
21,4,164177,11,9,2,3,0,4,1,0,0,40,39,0
27,7,553473,9,13,2,11,5,2,0,0,0,48,39,0
90,4,197613,11,9,4,1,1,4,0,0,0,40,39,1
52,4,38973,0,6,6,12,4,2,0,0,0,40,39,0
60,4,177665,11,9,2,3,0,4,1,0,0,35,39,0
28,4,337664,11,9,4,7,3,4,1,0,0,40,39,0
65,2,125768,15,10,0,1,1,4,0,0,0,28,39,0
19,4,323054,11,9,4,12,1,1,1,0,0,30,39,0
48,4,148995,15,10,2,3,0,4,1,0,0,60,39,0
54,4,256916,11,9,2,4,0,4,1,0,0,45,39,0
27,4,225768,11,9,4,8,3,4,1,0,0,20,39,0
66,4,114447,8,11,6,10,1,4,0,0,0,35,39,0
35,1,191480,9,13,3,4,1,2,1,0,0,40,39,0
25,6,210278,9,13,4,10,3,4,1,0,0,30,39,0
27,2,194515,7,12,4,10,3,2,0,0,0,37,39,0
60,4,175273,11,9,6,7,4,4,0,0,0,40,39,0
37,4,181705,8,11,2,3,0,4,1,0,0,40,39,0
42,4,143046,11,9,4,8,3,4,0,0,0,40,39,0
42,4,37869,15,10,0,7,1,4,1,0,1590,40,39,0
39,4,91711,12,14,2,4,0,4,1,0,0,40,39,1
31,2,253456,15,10,2,11,0,4,1,0,0,40,39,1
34,4,295922,15,10,4,7,1,4,1,0,0,40,9,1
60,0,141221,9,13,2,0,0,1,1,0,2163,25,35,0
44,4,62258,1,7,4,8,1,4,0,0,0,40,39,0
65,4,282779,12,14,2,1,2,4,0,0,0,40,39,1
56,0,425497,7,12,2,0,0,4,1,0,0,20,39,0
22,4,355686,15,10,4,1,1,4,0,0,0,40,39,0
30,6,247328,8,11,5,12,1,4,1,0,0,40,26,0
46,2,359193,15,10,0,1,4,4,0,0,0,45,39,0
22,4,199555,15,10,4,5,3,4,1,0,0,25,39,0
20,4,70240,11,9,4,12,3,1,0,0,0,24,30,0
36,4,250791,11,9,2,6,0,4,1,0,0,48,39,0
